long.fips,long.name,short.fips,year,median.age,hs.plus,bachelors.plus,ag.percent.employ,mean.income,median.income,white.percent,papers.total,papers.daily,ktype_use,k.seats,party.presence,party.comp,general.presence,general.comp,population,pop_density
620L500US35055,"State House District 55 (2016), New Mexico",35055,2018,37.9,88.2,21,2.65,80160,68036,90.44,9210,9210,SMD,1,0,0,0,1,31013,15.39097534
620L500US35056,"State House District 56 (2016), New Mexico",35056,2018,43,86.3,21.5,2.59,50268,40079,74.67,3523,1213,SMD,1,1,1,1,1,28282,17.80896014
620L500US35057,"State House District 57 (2016), New Mexico",35057,2018,30.9,91.1,27,0.4,69401,58467,71.79,2366,0,SMD,1,1,1,1,1,33866,152.8635395
620L500US35058,"State House District 58 (2016), New Mexico",35058,2018,32.7,67.6,8.5,8.73,43193,33567,77.31,2427,2427,SMD,1,0,0,0,1,28516,34.32618786
620L500US35059,"State House District 59 (2016), New Mexico",35059,2018,43.3,89.6,31,2.79,65233,46634,82.98,8075,1709,SMD,1,1,1,1,1,28996,4.833031561
620L500US35006,"State House District 6 (2016), New Mexico",35006,2018,34.8,72.5,7.9,2,40538,31521,20.76,8850,4425,SMD,1,1,1,1,1,32116,8.312689223
620L500US35060,"State House District 60 (2016), New Mexico",35060,2018,38.3,92.9,28.3,0.68,71847,60248,82.5,1189,0,SMD,1,1,1,1,1,29657,423.750125
620L500US35061,"State House District 61 (2016), New Mexico",35061,2018,30.4,61.8,7.4,1.89,57039,46629,85.66,15213,5071,SMD,1,0,0,0,1,29893,12.57914302
620L500US35062,"State House District 62 (2016), New Mexico",35062,2018,32.8,80.3,18.5,1.04,89004,70958,89.32,2892,964,SMD,1,0,0,0,1,32525,147.6999228
620L500US35063,"State House District 63 (2016), New Mexico",35063,2018,33.2,73.3,10.7,7.11,40351,30343,64,3855,941,SMD,1,1,1,1,1,27889,4.308092986
620L500US35064,"State House District 64 (2016), New Mexico",35064,2018,31,89.3,24.9,4.27,63809,49090,76.11,1248,1248,SMD,1,0,0,0,1,32604,72.79791011
620L500US35065,"State House District 65 (2016), New Mexico",35065,2018,32.5,78.4,10,1.77,46923,36017,16.81,5732,1350,SMD,1,1,1,1,1,28505,6.244175863
620L500US35066,"State House District 66 (2016), New Mexico",35066,2018,33.8,82,21.6,3.99,62189,45567,84.84,7356,3688,SMD,1,0,0,0,1,29963,5.237387567
620L500US35067,"State House District 67 (2016), New Mexico",35067,2018,41.1,82.9,17.7,7.65,47901,33971,83.07,5971,670,SMD,1,1,1,1,1,28035,2.355362788
620L500US35068,"State House District 68 (2016), New Mexico",35068,2018,37.2,95.8,36.1,0.28,84977,70058,76.19,898,449,SMD,1,1,1,1,1,31329,4674.574754
620L500US35069,"State House District 69 (2016), New Mexico",35069,2018,33.7,79.2,12.2,2.7,43053,32157,24.92,8358,4262,SMD,1,1,1,1,1,28352,5.205592634
620L500US35007,"State House District 7 (2016), New Mexico",35007,2018,37.1,76.5,15.2,3.1,46950,35416,75.75,877,0,SMD,1,1,1,1,1,29038,287.3570043
620L500US35070,"State House District 70 (2016), New Mexico",35070,2018,42.2,79.8,17.8,4.92,40033,27107,63.26,3078,83,SMD,1,1,1,1,1,28650,4.974867801
620L500US35008,"State House District 8 (2016), New Mexico",35008,2018,40.3,85,20.4,1.16,61076,50178,79.43,807,0,SMD,1,1,1,1,1,29878,422.9076137
620L500US35009,"State House District 9 (2016), New Mexico",35009,2018,31.4,72.4,9.9,0.89,42024,25938,21.04,8934,5159,SMD,1,0,0,0,1,25743,19.58029725
620L500US36001,"Assembly District 1 (2016), New York",36001,2018,44.1,90.7,35.2,1.85,118329,81287,88.37,134576,5176,SMD,1,1,1,1,1,132325,508.5120283
620L500US36010,"Assembly District 10 (2016), New York",36010,2018,42.7,90.2,48.6,0.4,148843,105301,76.87,47710,1835,SMD,1,1,1,1,1,130367,2061.333881
620L500US36100,"Assembly District 100 (2016), New York",36100,2018,40.5,86.3,21.7,0.64,70733,54007,70.08,19879,1492,SMD,1,0,0,1,1,135309,138.3979028
620L500US36101,"Assembly District 101 (2016), New York",36101,2018,42.3,91,27.2,1.68,77940,59578,88.93,30892,6471,SMD,1,1,1,1,1,134815,98.52038553
620L500US36102,"Assembly District 102 (2016), New York",36102,2018,45.2,88,21.6,2.05,67238,52160,92.85,21789,5050,SMD,1,1,1,1,1,132508,65.68207335
620L500US36103,"Assembly District 103 (2016), New York",36103,2018,44.5,90.5,35.6,1.1,82258,60000,86.9,31400,4652,SMD,1,1,1,1,1,132889,189.0880478
620L500US36104,"Assembly District 104 (2016), New York",36104,2018,37.4,84.8,25.1,0.78,72887,55114,60.74,16385,2128,SMD,1,1,1,1,1,123155,1091.906126
620L500US36105,"Assembly District 105 (2016), New York",36105,2018,43,91.3,35.1,0.89,104919,86351,83.41,14170,2834,SMD,1,1,1,1,1,136394,363.5060152
620L500US36106,"Assembly District 106 (2016), New York",36106,2018,42.2,89.7,31.3,1.97,85877,65922,83.38,16822,4754,SMD,1,1,1,1,1,132963,194.7556601
620L500US36107,"Assembly District 107 (2016), New York",36107,2018,43.5,92.8,31.4,1.17,84633,67817,92.41,7333,5133,SMD,1,1,1,1,1,133235,138.3158961
620L500US36108,"Assembly District 108 (2016), New York",36108,2018,34.7,87.2,23,0.14,56724,43701,65.39,7401,2776,SMD,1,1,1,1,1,129931,2813.942912
620L500US36109,"Assembly District 109 (2016), New York",36109,2018,36.8,95.9,52.1,0.29,92742,70272,82.66,11328,2832,SMD,1,1,1,1,1,137114,763.7471592
620L500US36011,"Assembly District 11 (2016), New York",36011,2018,38,84.9,22.2,0.04,91662,77979,59.17,59358,2283,SMD,1,1,1,1,1,128941,4842.127004
620L500US36110,"Assembly District 110 (2016), New York",36110,2018,40.3,93,40.8,0.19,90119,69521,80.05,7022,2399,SMD,1,1,1,1,1,135352,1781.6272
620L500US36111,"Assembly District 111 (2016), New York",36111,2018,40,86.1,19,1.26,61647,48804,78.98,17529,5045,SMD,1,1,1,1,1,128137,198.9022401
620L500US36112,"Assembly District 112 (2016), New York",36112,2018,42.7,94.9,42.4,0.5,94363,78578,92.68,8627,3331,SMD,1,1,1,1,1,136768,356.8441129
620L500US36113,"Assembly District 113 (2016), New York",36113,2018,41.9,92.8,33.8,1.62,84656,66208,95.23,13041,2720,SMD,1,1,1,1,1,135333,221.7232527
620L500US36114,"Assembly District 114 (2016), New York",36114,2018,45.4,89.5,24.4,1.49,69228,54224,94.16,27087,3650,SMD,1,1,1,1,1,134540,41.1779325
620L500US36115,"Assembly District 115 (2016), New York",36115,2018,39.7,86,20.6,2.63,62527,50010,88.36,23462,11198,SMD,1,0,0,1,1,137782,44.51503451
620L500US36116,"Assembly District 116 (2016), New York",36116,2018,35.8,88.9,23.2,1.77,61155,47334,90.99,30693,10176,SMD,1,1,1,1,1,135238,91.55252332
620L500US36117,"Assembly District 117 (2016), New York",36117,2018,35.3,89.6,19.6,3.25,64291,51767,89.91,31384,9751,SMD,1,0,0,1,1,134595,48.80938393
620L500US36118,"Assembly District 118 (2016), New York",36118,2018,44.1,88.9,20.1,1.6,62923,50418,96.15,30493,14003,SMD,1,1,1,1,1,131009,27.93513608
620L500US36119,"Assembly District 119 (2016), New York",36119,2018,38.7,85.1,20.6,0.46,56949,42402,78.96,18058,7336,SMD,1,1,1,1,1,133277,598.0328369
620L500US36012,"Assembly District 12 (2016), New York",36012,2018,43.9,93.8,42.4,0.16,128053,103977,85.79,56472,2172,SMD,1,1,1,1,1,127936,2731.74898
620L500US36120,"Assembly District 120 (2016), New York",36120,2018,41.3,87.8,21.9,1.19,67335,53146,95.87,29697,5828,SMD,1,1,1,1,1,132489,129.7856938
620L500US36121,"Assembly District 121 (2016), New York",36121,2018,40.4,90.9,27.6,2.56,67721,52511,94.57,19578,4243,SMD,1,1,1,1,1,131573,98.24958874
